Baustein-oa,will-mo
Reiselust-sb,begann-cj
Kommunikation-sb,Spieler-oa
Migranten-sb,Stacheldraht-nk
Urteile-sb,Auffassung-nk
Straßenbahn-nk,befand-ROOT
Angst-sb,aufgehalten-oc
YouTube-Videos-oa,gespielt-oc
Verkehrsbetriebe-nk,kam-ROOT
Störung-nk,konnten-ROOT
Dietmar-pnc,applaudierten-ROOT
Menschen-nk,gezapft-oc
Jahren-nk,stand-ROOT
Nasa-Forscher-sb,Analyse-nk
Februar-nk,schwappen-oc
Pocher-sb,hingeklöppelt-oc
Umweltthemen-sb,Villani-nk
Investitionen-sb,Einschätzung-nk
Mörder-sb,spielt-ROOT
Mike-sb,sollen-ROOT
Privatklagen-sb,Kommerzialisierung-oa
Dienste-sb,stoßen-ROOT
Francis-sb,entpuppt-rc
College-pnc,London-nk
Köln-nk,umgeleitet-oc
Orientierung-oa,ticken-ROOT
Training-nk,schob-ROOT
Black-pnc,erklärt-ROOT
Borat-Mankini-oa,aufschnauft-mo
Pauschalreisende-sb,Urlaub-oa
Programm-sb,Messe-nk
Buch-sb,verurteilt-oc
Sendung-oa,passte-mo
Notfallmeldungen-oa,erhalten-ROOT
Problem-sb,bestimmen-ROOT
Teststrecken-sb,gehörten-ROOT
Gefühle-oa,hält-ROOT
SPD-sb,will-ROOT
Kohlendioxid-nk,könnten-oc
Cesare-sb,gleitet-ROOT
Schriftsteller-sb,gibt-ROOT
Euro-nk,kommen-ROOT
Erfahrung-oa,erlebe-cj
Kante-sb,Fans-nk
Michael-pnc,Taxifahrerin-oa
Weise-nk,anstoßen-oc
Beispiel-nk,ändert-ROOT
Homunculus-sb,ging-ROOT
Mittel-oa,reagieren-cj
Zeit-nk,empfiehlt-ROOT
Suchenden-nk,erfordern-cj
Menschen-sb,sehen-oc
Sportler-sb,gestartet-oc
Vorstandschef-sb,Minderheit-nk
Janowitz-sb,angelegt-pd
Barack-pnc,Messegelände-oa
Monat-sb,Jahren-nk
Minuten-nk,gehen-oc
Veranstalter-nk,pflegte-rc
Dündar-sb,lebt-cj
Wirkung-oa,aufregen-oc
Gehirn-nk,entstehen-ROOT
Kontakte-oa,verdient-ROOT
Kontinenten-nk,entwickeln-mo
Mädchen-nk,glaubte-ROOT
Kita-nk,pfeifen-rc
Wissenschaftler-sb,merkt-ROOT
Coronavirus-sb,breitet-ROOT
Final-pnc,Dialoge-oa
Stützungsmaßnahmen-sb,abflauen-mo
Reisen-oa,schlug-ROOT
Autobahnen-nk,sagte-ROOT
Schutzmaßnahme-nk,lesen-ROOT
Versuchspersonen-nk,meinen-ROOT
Wahlkampf-nk,hängt-ROOT
Pocher-sb,landet-ROOT
Scanty-nk,spielen-oc
Verkäuferin-sb,entschieden-oc
Comeback-oa,greifen-ROOT
Theorie-oa,aufwarten-oc
Hauptargument-sb,Wort-nk
Civey-nk,nutzt-ROOT
Notdienst-sb,vermuteten-rc
Region-sb,bleibt-ROOT
Valve-sb,Valves-nk
Wahrscheinlichkeit-sb,Sars-CoV-2-nk
App-nk,schaltet-ROOT
Angehörige-nk,sieht-ROOT
Sellner-sb,etabliert-oc
Umweltausschuss-sb,gescheitert-oc
Anne-pnc,Freundin-oa
Netz-nk,verbreitet-oc
Bahnverkehr-sb,verkünden-re
Möbel-oa,glaube-rs
Säugetiere-sb,nackte-nk
Arti-pnc,Ansicht-nk
–-sb,erscheint-cj
New-pnc,Deutschland-nk
Hauptstadt-sb,Turnieren-nk
Schriftsteller-sb,Faschismus-oa
Klaus-pnc,Sagen-ROOT
Land-nk,erkannt-oc
Lebensmittel-sb,Woche-nk
o.k.-pnc,beobachtete-ROOT
Michael-pnc,beruht-ROOT
Aus-nk,führte-oc
S-Bahn-oa,halten-re
Studie-nk,nachgewiesen-oc
Fahrradwege-oa,geschaffen-oc
Virusausbruch-sb,Bildunterschriften-oa
Röttgen-sb,SPIEGEL-nk
Ungarn-nk,trainierten-ROOT
Gerland-nk,protestiert-oc
Jahren-nk,ergriffen-oc
Schausteller-nk,formen-ROOT
Fox-sb,konnte-ROOT
Globalisierung-sb,abgewickelt-oc
Annahmen-oa,stützen-ROOT
Krauß-sb,wirkte-ROOT
German-pnc,reden-mo
Voigt-nk,enthielten-ROOT
Stevens-nk,erfuhren-mo
Obama-nk,besuchte-mo
Buch-sb,Rundfunk-nk
Desinfektionsmittel-oa,sprühen-oc
Erwartungen-oa,erfüllte-ROOT
Zeit-oa,bat-ROOT
Gewichtung-sb,Bevölkerung-oa
Alfred-pnc,wundert-ROOT
Mailand-nk,gebucht-oc
Stabilisierung-sb,angeht-mo
Konzept-oa,wiederholen-oc
Angaben-sb,verpflichtet-pd
Mike-pnc,Kandidatur-nk
Sonntagabend-nk,steigt-cj
Welt-sb,Berlin-nk
Boris-pnc,Anfang-nk
Half-Life-nk,sieht-ROOT
Janowitz-sb,Kracauer-oa
Scham-nk,verschiebt-ROOT
Gefühle-nk,sprechen-mo
David-pnc,antritt-mo
Verbandsrecht-sb,Zelle-nk
Bundesregierung-sb,Verwerfungen-nk
Design-oa,spielte-ROOT
Leben-nk,Denken-ROOT
Mitarbeiter-sb,Schwächen-oa
Emotion-nk,benutzen-ROOT
Chef-sb,Fanprojekte-oa
Warten-sb,sollte-ROOT
Gleichsetzung-sb,scheint-ROOT
Aufschwung-nk,käme-ROOT
Bojko-pnc,reisen-oc
Erna-nk,wissen-ROOT
Hetzfilm-nk,berücksichtigte-ROOT
Merkmalen-nk,tun-ROOT
Pünktchen-oa,zählen-ROOT
Informationen-sb,Gesundheitswesen-nk
Hanau-nk,bekämpft-cj
Wut-sb,Grenzen-oa
Kracauer-sb,Caligari-nk
Dienst-nk,ließen-ROOT
Besucher-sb,Stadt-nk
Rückgang-sb,nehmen-ROOT
Fall-nk,wiederholt-cj
Menschen-nk,gibt-ROOT
USA-nk,erlag-ROOT
Sekunden-sb,Hände-nk
Mailänder-sb,kennt-cj
Produktionsausfälle-nk,sorgen-rc
Migrationshintergrund-sb,Nachteil-nk
Optimisten-nk,sagen-rc
Rainhard-pnc,Nummer-oa
Partei-oa,kann-ROOT
Menschen-sb,regt-ROOT
Camp-pnc,überfüllt-pd
Amtsinhaberin-sb,Umfragen-nk
Richterin-sb,wahrnimmt-re
Kurve-oa,hängte-ROOT
Flugsicherung-sb,kommt-ROOT
Thema-sb,Vernetzung-oa
Jahren-nk,verbessern-re
Spieler-sb,Seite-nk
Ansteckungsrisiko-sb,deuteten-ROOT
Atemschutzmaske-sb,Internet-nk
Schmähungen-sb,Spiels-nk
Sicht-nk,gewährleistet-oc
Dienste-sb,Klimaproblem-nk
Horrorszenarien-sb,lassen-ROOT
Forscher-sb,Universität-nk
Landesamt-nk,erörtert-oc
Finanzklasse-sb,Nachbargruppen-nk
Mittelpunkt-nk,ungewollt-mo
Gestalt-nk,behauptete-rc
Ehe-sb,Sator-nk
Bayern-Präsident-sb,gesprochen-oc
Susanne-pnc,Januar-nk
Ausländerfeindlichkeit-oa,konnte-ROOT
Eben-Worlée-nk,äußert-ROOT
Alizadeh-nk,drängt-ROOT
Produktionsfirma-sb,starb-ROOT
Coverversion-oa,musst-mo
Kopf-nk,berechnet-oc
Neujahr-nk,gedauert-oc
Lobo-sb,Podcast-nk
Oliver-pnc,Wendler-nk
Menschenhand-nk,beweisen-mnr
Blick-sb,verkündet-rc
Klosterschülerin-sb,befasst-ROOT
Internetkultur-sb,gespielt-oc
COVID-19-Fall-oa,teilte-ROOT
Torte-sb,machte-ROOT
Tango-pnc,landete-ROOT
D-nk,leisten-oc
Wahl-nk,stimmen-oc
Krauß-nk,stellt-ROOT
Inseln-nk,leben-ROOT
Opfer-oa,verhindern-oc
Kurt-pnc,schrieb-ROOT
Aktion-oa,gestartet-oc
Black-pnc,gab-mo
Vorteile-nk,kann-rc
Hauptrolle-oa,verwechseln-mo
Mariano-pnc,Nachspielzeit-nk
Raphael-pnc,sagt-ROOT
Runden-nk,aufgeteilt-oc
Mauer-nk,darf-ROOT
Fernsehmoderator-nk,taten-ROOT
Georges-pnc,teilt-ROOT
Positionspapier-nk,müsse-ROOT
Bettel-nk,vereidigt-oc
Rökk-nk,folgte-ROOT
Corona-sb,passiert-oc
Smartphone-sb,kommen-ROOT
Donnerstag-nk,klären-oc
Vornamen-nk,kapiert-ROOT
Hip-Hop-Elite-nk,mithalten-oc
Geschichte-nk,glaube-oc
Sohn-sb,zählen-ROOT
Spahn-sb,Großveranstaltungen-oa
Mangelsituation-oa,weggeworfen-oc
Janowitz-sb,Caligari-Skript-nk
Nachfolger-nk,erklärt-ROOT
Situation-nk,aufhält-rc
Klopapier-sb,finden-ROOT
Cristiano-pnc,Madrid-nk
Virus-oa,kann-ROOT
Alizadeh-sb,schaffen-oc
DFB-sb,lesen-oc
Andrea-pnc,Ehefrau-nk
"-pnc,verwechseln-mo
Kommunismus-nk,darstellen-rc
Staat-sb,betrifft-oc
Nachkriegszeit-nk,nahmen-re
Caixin/Markit-pnc,erwartet-cc
Verwerfungen-nk,zeigt-ROOT
Hände-oa,waschen-ROOT
Jahren-nk,arbeitet-ROOT
Nichtwissen-nk,plagen-ROOT
Ende-nk,sprach-ROOT
Eklat-sb,Härte-nk
Energiepolitik-nk,bedeutet-ROOT
Caligari-nk,berief-ROOT
Dündar-sb,betrieben-oc
Grenze-oa,akzeptieren-ROOT
Columbia-pnc,April-nk
Helden-nk,geht-ROOT
Caligari"-Darsteller-sb,Lesen-nk
Fußball-sb,Erklärung-nk
Deutschland-nk,abgebrochen-oc
Rätsel-oa,darf-ROOT
Drehbuchautoren-nk,verwechselt-oc
William-subtok,gehört-ROOT
Flüchtlingsdrama-oa,anheizt-re
Ei-sb,Genre-nk
Montag-nk,lädt-ROOT
Spiels-nk,betonte-ROOT
Geschichte-nk,festsetzen-sb
Podcast-nk,geht-ROOT
Ausstellung-oa,kleideten-ROOT
Mann-nk,teilte-ROOT
Hübner-nk,warnte-ROOT
Heilung-nk,lösen-ROOT
Thema-nk,spart-ROOT
Neckel-sb,beschäftigt-ROOT
Pressekonferenz-nk,versuchte-ROOT
Dinge-sb,funktionierten-oc
Januar-nk,soll-ROOT
Unternehmensführung-nk,funktionieren-oc
Montag-nk,angekommen-oc
Kartelle-sb,Spahn-nk
Schulden-sb,betrugen-ROOT
Ausdrucksform-nk,stoppt-oc
Kim-sb,dokumentieren-ROOT
Wendler-sb,Show-nk
Beispiel-nk,verbunden-pd
Deutschland-nk,hochgestuft-oc
Tiere-sb,Gefühle-oa
Prozent-nk,belegen-mo
Methoden-nk,gibt-ROOT
Polizei-Tweet-nk,kann-ROOT
EU-Kommission-sb,Millionen-oa
Michael-pnc,Kriegsverbrechen-nk
Publikumsverkehr-nk,hängen-oc
Coronavirus-pnc,entdeckt-oc
Future"-Aktivisten-oa,sagen-rs
Nervenheilanstalt-nk,verloren-oc
Datteln-nk,verteidigte-ROOT
Drehbuchautoren-nk,besagt-ROOT
Caligari-sb,entschieden-mo
Dreh-nk,geliebt-oc
Schulen-sb,Hause-nk
Gutachten-oa,gab-ROOT
Wohnung-sb,gehört-ROOT
Flick-sb,brodelte-sb
Risse-sb,sagt-ROOT
–-nk,entstehen-oc
Rechtsradikale-sb,finden-oc
Todesfälle-nk,frage-ROOT
Jud-pnc,England-nk
Norditalienreise-nk,breitgemacht-oc
Teilzeit-nk,hofft-cj
Rainhard-nk,hört-ROOT
Hasskriminalität-nk,verbessert-oc
Soldat-sb,ermordeten-cj
Dreh-nk,trennte-rc
Zählern-nk,liegt-cj
Wissenschaftler-sb,benutzen-ROOT
Druck-sb,Lösung-oa
Zahlen-sb,starben-ROOT
FDP-Politiker-sb,Ministerpräsidentenwahl-nk
Stimmung-oa,identifizieren-oc
Celsius-nk,durchgeführt-oc
Wieler-sb,Tage-nk
Drohne-sb,Polizei-nk
Vinícius-pnc,Führung-oa
Königshaus-sb,veröffentlichte-ROOT
Hass-oa,Schlägt-ROOT
Turnieren-nk,holen-oc
Hassbotschaften-sb,bereite-oc
Vinícius-pnc,erzielte-ROOT
–-sb,Niveau-nk
Steuern-oa,ausgehen-mo
Gericht-sb,Urteil-oa
Urteilsabschrift-sb,heißt-ROOT
Merz-nk,durchgesetzt-oc
Half-Life-oa,macht-cj
Deutschland-nk,geschieht-ROOT
Wohnung-sb,anfühlt-mo
EKD-oa,glauben-ROOT
Verfahren-nk,arbeitet-ROOT
Gratis-Fahrten-nk,kann-ROOT
Lage-nk,passiert-ROOT
Menschen-sb,Mangelsituation-oa
Hera­eus-oa,gaben-rc
Montagnachmittag-nk,sollen-ROOT
Obrigkeit-sb,weiß-ROOT
Verunsicherung-sb,macht-ROOT
Anbieter-sb,Fahrer-oa
Stunde-nk,traf-ROOT
Venedig-nk,überfüllt-pd
Rose-sb,verboten-oc
Revolution-oa,unterstützte-ROOT
Beispiel-nk,globalisiert-mo
Kommunikation-oa,mache-ROOT
Ego-nk,erkennen-oc
Züge-sb,Ansturm-oa
Psychotherapeutin-nk,setzen-rc
Verkehrsnetz-oa,ausbauen-ROOT
Amtszeit-nk,herrschte-sb
Bild-sb,Biografie-nk
Steinbach-sb,Landesamt-nk
Solidarisierungen-sb,Beispiel-nk
Artikel-sb,entdecken-oc
Leistung-oa,erbracht-oc
Freunden-nk,schrieb-ROOT
Normalität-nk,sagte-ROOT
Hanau-nk,wollen-oc
Politiker-sb,lässt-ROOT
EU-Beamten-sb,Sorge-oa
LA-pnc,überlegen-cj
Sole-nk,landete-ROOT
Frontex-sb,Griechenland-nk
Peter-pnc,Werkstatt-nk
Klubs-sb,FC-nk
Braga-sb,Beendigung-nk
Umfragen-oa,gestellt-oc
Verliebtsein-sb,Regeln-oa
Atmosphäre-oa,schufen-ROOT
Wertvernichtungspotenzial-sb,liegt-ROOT
Hidalgo-sb,Spaltung-nk
Mesa-nk,erschien-ROOT
Ravel-sb,Gehen-ROOT
Walter-pnc,sollen-rc
Mäzen-nk,Lesen-ROOT
Albumtitel-sb,Kopf-nk
Nachbargruppen-nk,unterscheiden-re
Strada-nk,landete-ROOT
Grätschen-sb,kommt-ROOT
Philippe-pnc,reden-ROOT
Gefühle-oa,führen-oc
Staatsschulden-oa,müsste-ROOT
Ausbruch-nk,geheilt-oc
Spieltag-nk,kam-ROOT
Bahnnetz-nk,investiert-ROOT
Langer-sb,Drehbeginn-nk
Reihe-nk,genannt-oc
Lösung-sb,empfehlen-oc
Eiswasser-nk,trägt-mo
Produkt-sb,Prozent-nk
Unterbrechungen-nk,sprach-cj
Komponist-sb,schwärmte-ROOT
David-pnc,Erdogan-nk
Unsicherheit-sb,spüren-ROOT
Melchers-sb,Landesverband-nk
29-Jährige-sb,Bezirk-nk
Motivation-sb,weiß-ROOT
Fall-nk,gehe-ROOT
Bauer-sb,durchkam-sb
Hoteliers-sb,schrecken-ROOT
Fehlerintervalle-sb,Wahrscheinlichkeit-nk
Stadt-sb,Besucher-nk
Senta-pnc,verliebt-ROOT
Fall-nk,läuft-ROOT
Länder-nk,sieht-ROOT
Shannen-sb,bedankt-oc
Schiedsrichter-sb,Karten-nk
Zinssenkung-sb,einbezogen-oc
Freizeit-oa,investieren-oc
Vietnam-sb,Dutzenden-nk
Öffentlichkeit-sb,Möbel-oa
Rachida-pnc,Zeit-nk
Intervall-sb,Intervall-nk
Wendler-sb,stellte-ROOT
Kriegsführung-sb,Profifußball-nk
Mann-sb,Mann-nk
Rathäusern-nk,sagte-ROOT
Thi-pnc,Morgen-nk
Preußen-pnc,Rafalski-nk
Brot-sb,erlebt-ROOT
Einpeitscherinnen-oa,wählen-rc
Folge-nk,wollten-ROOT
Mitmachen-nk,sorgen-ROOT
Sorge-oa,macht-ROOT
Konter-oa,brachten-ROOT
Zahl-sb,steigt-cj
Welt-sb,Luxemburg-nk
Stuhl-sb,Flughafen-nk
Playstation-4-Konsolen-sb,stehen-ROOT
Paul-pnc,.-nk
Unterbrechung-nk,wirkte-ROOT
Half-Life-nk,enttäuschte-ROOT
Konflikt-oa,wollen-ROOT
WHO-Experte-sb,Reise-nk
Werner-pnc,spielten-ROOT
Senta-pnc,Ende-nk
Obrigkeit-nk,Sollte-oc
Albumcover-sb,Blick-nk
Konflikte-oa,moderieren-re
For-pnc,kleideten-ROOT
Moment-nk,konnte-ROOT
Samstag-nk,dazustehen-mo
Tut-sb,Nachmittag-oa
Genf-nk,sollte-rc
Zeugenvernehmungen-nk,letztrangigen-oa
Hopps-pnc,gezeigt-oc
Samos-nk,harren-ROOT
Möglichkeit-sb,App-nk
Frontex-sb,sank-ROOT
en-pnc,sprang-ROOT
Jasper-pnc,entwerfen-re
Show-nk,angezogen-oc
Captain-sb,Rad-nk
Orkan-sb,Sabine-nk
Bescheid-oa,weiß-cj
Konzept-sb,bekämpft-cj
Coronavirus-sb,angekommen-oc
Preise-sb,Berlinale-nk
Mann-sb,Lungenerkrankung-oa
Leben-oa,sagte-ROOT
Casablanca-nk,stellte-oc
Koran-sb,sagt-ROOT
Virus-sb,helfen-oc
Grätschen-sb,Gemächt-nk
Behinderung-nk,gewertet-oc
Leute-oa,glauben-rc
Suche-sb,Regen-nk
Tat-sb,glorifiziert-oc
Ende-nk,gemacht-oc
Verband-sb,ließ-ROOT
Verhoeven-sb,stand-ROOT
David-pnc,Kandidat-nk
Lewandowski-sb,spielte-ROOT
Herzblatt-nk,moderierte-ROOT
Politik-sb,Fragen-nk
Decla-nk,mochten-ROOT
Slang-nk,auskennt-re
Rechten-nk,könnten-mo
Kimia-sb,Liste-nk
Bayern-pnc,stellte-ROOT
Kraft-oa,verhält-rc
Piazza-pnc,Turin-nk
Punkten-nk,gaben-ROOT
Wirkmacht-sb,zeigt-ROOT
o.k.-pnc,holte-ROOT
Hamburg-nk,hinterließen-cj
Gegenzug-nk,will-ROOT
Polizei-nk,fielen-ROOT
Text-sb,Schauer-oa
The-pnc,trat-ROOT
Mal-nk,beißt-cj
Work-sb,Hierarchien-oa
Strategie-sb,schreiben-ROOT
VDMA-nk,veröffentlicht-rs
Verband-sb,bestritten-oc
Hanau-nk,passiert-re
Dati-sb,Nordosten-nk
Musicaldarstellerin-nk,geschieden-oc
Vielfalt-nk,kann-ROOT
Finanzen-sb,vorliegt-cj
Gericht-sb,ignorierte-ROOT
Ex-Ministerpräsident-sb,Ramelow-nk
Regime-sb,Totalitarismus-nk
Eitelkeit-oa,macht-cj
Kindern-nk,mussten-cj
Finanzmärkte-oa,ausgeben-mo
Nasenlöcher-nk,nackte-nk
Fähigkeit-nk,deuten-ROOT
Deutschland-sb,Schädlinge-oa
Projekt-oa,erzählten-ROOT
Opportunismus-nk,verlangsamen-oc
Kiriakov-nk,rief-ROOT
Borussia-nk,greift-oc
Franz-pnc,Freundschaft-oa
Interesse-oa,hielt-ROOT
Luft-nk,führte-ROOT
Besucher-sb,griff-rs
Grundproblem-sb,Instagram-nk
Wachstum-nk,signalisiert-oc
Verdacht-oa,gibt-mo
Touristinnen-sb,storniert-oc
Angelegenheit-nk,sehen-mo
Final-pnc,Bezüge-oa
Unternehmensstruktur-sb,Kapital-oa
Victoria-nk,steht-ROOT
of-pnc,Herbst-nk
Journalist-sb,machen-ROOT
–-nk,überprüft-ROOT
Lobo-oa,können-ROOT
Mann-sb,nachgewiesen-oc
Regierungspartei-sb,verlor-rc
Quereinsteigerin-sb,will-ROOT
Gramm-nk,zurückgelegt-oc
Ehefrau-nk,geschieden-oc
Quarantänebeamtin-sb,überprüft-ROOT
Fabrik-oa,sagte-ROOT
Stuhl-nk,sagt-ROOT
Geschichte-nk,spukt-ROOT
Kameras-sb,kann-ROOT
Oscar-sb,steht-ROOT
Steuerleistungen-nk,sagen-oc
Hasan-pnc,gelaufen-oc
Ferdinand-pnc,Sagen-ROOT
Regime-sb,könnte-re
Blick-sb,Ende-nk
Klaus-pnc,traf-ROOT
Gegenspieler-sb,Beine-nk
Virus-sb,Health-nk
Titel-nk,veröffentlicht-oc
Luxemburg-Stadt-nk,führt-ROOT
Thüringen-nk,teilte-ROOT
Rassismus-nk,vorzugehen-oc
Bezüge-oa,sagt-ROOT
Ergonomie-nk,bleibt-cj
Breivik-sb,schickte-ROOT
Part-sb,Half-Life-nk
Staat-sb,sieht-ROOT
Griechenland-sb,feststellen-ROOT
Ärzte-nk,Denken-ROOT
Partien-nk,soll-mo
Welt-oa,hängte-ROOT
Öffentlichkeit-sb,glaube-rs
Versprechen-oa,gebrochen-oc
Staat-sb,Wirtschaftspolitik-oa
Emissionen-sb,Prozent-nk
York-pnc,berichten-ROOT
Frau-sb,stößt-ROOT
Redaktion-nk,geändert-oc
George-pnc,Tritte-nk
Kappas-sb,Bedeutung-oa
Erfahrung-nk,bekam-cj
Kappas-sb,sprechen-mo
Tage-sb,Wasser-nk
Zeugen-oa,vernehmen-oc
Beamten-nk,schaffen-oc
Projekte-sb,gab-rs
Präriewühlmäuse-sb,Futter-oa
Disziplin-oa,eingliedere-cj
Hopp-nk,richtet-ROOT
Ach-pnc,sagte-ROOT
Donnerstag-nk,sollen-ROOT
Wien-nk,ausgefallen-oc
Begriff-sb,Finanzwesen-nk
Partie-sb,unterbrochen-oc
Fans-sb,solidarisieren-oc
Kopftuch-nk,freut-ROOT
Hamsterkäufe-sb,sagte-ROOT
Beschlussvorlage-sb,Pakt-oa
Hinweise-oa,formulieren-ROOT
Personen-sb,konnten-ROOT
Bundesregierung-sb,Maßnahmen-oa
Rückwand-nk,heißt-ROOT
Christchurch-nk,spendete-ROOT
Freunde-sb,schrieb-ROOT
Union-nk,chauffieren-oc
Fendrich-sb,Gitarrespielen-oa
Rassismus-nk,einrichten-oc
Menschen-sb,müssen-ROOT
Grenze-nk,harrten-ROOT
Blick-sb,haderte-ROOT
Teil-sb,kann-ROOT
’s-sb,Moment-nk
Flick-sb,Gründen-nk
Forscherin-sb,Neujahr-nk
Franziskus-nk,verlegte-ROOT
Kortright-sb,koche-oc
Mehrheit-sb,Zusammenarbeit-oa
Rolle-oa,will-cj
Gruppensprecher-nk,legen-ROOT
Zeit-sb,Januar-nk
Forschung-nk,gesprochen-oc
Wochen-nk,können-ROOT
Menschen-nk,trage-ROOT
Typen-sb,brachten-ROOT
Wände-oa,geht-ROOT
Denkanstößen-nk,tun-ROOT
September-nk,angesagt-cj
Kurzstrecke-nk,sagt-ROOT
Soziologe-sb,Hypnotiseur-oa
Melchers-sb,teilt-ROOT
Gefühle-nk,sagt-ROOT
Gratis-Transport-sb,Kuchen-nk
Pop-Ära-Zeug-oa,möchte-ROOT
Philippe-pnc,Protest-nk
Bonelli-sb,sagt-ROOT
Lösung-oa,nannte-oc
Atemwege-oa,sagte-ROOT
Perücke-oa,verdammt-oc
CDU-sb,soll-ROOT
Population-nk,stoßen-nk
Eco-sb,Merkmalen-nk
Stimmen-oa,erhielt-ROOT
Teams-sb,geschoben-oc
Cesare-sb,Francis-nk
Warenverfügbarkeit-nk,festzustellen-oc
Ewald-pnc,Amerika-nk
Lion-pnc,Preger-nk
Zaun-nk,wollen-oc
o.k.-pnc,Deutschland-nk
Verbandsrecht-sb,abgreifen-mo
Spieler-nk,darf-sb
Dietmar-pnc,Spiel-nk
Kollege-sb,spüren-ROOT
Betreiber-sb,bat-ROOT
Deutschland-nk,entlassen-oc
Forscher-sb,Wörter-oa
Kappas-sb,Gefühle-oa
Größenordnung-nk,müsste-ROOT
Mannschaften-sb,Kurve-nk
Jens-pnc,Pressekonferenz-nk
Stellvertreter-nk,hinzuzufügen-ROOT
Schinas-nk,bleibt-ROOT
Griechenland-sb,zeigt-ROOT
Festivalleitung-sb,Filme-oa
Yoshinori-pnc,SPIEGEL-nk
T.-pnc,übertragen-oc
Spieler-sb,Jahren-nk
Eco-sb,York-nk
DFB-sb,vorzugehen-oc
Tempo-140-Schild-sb,A1-nk
Aufsichtsratsboss-pnc,Schalke-nk
Red-pnc,wollen-ROOT
Platz-nk,gelang-ROOT
Verläufe-sb,Erkältung-nk
Caligari-Darsteller-sb,gab-ROOT
Virus-sb,Tröpfcheninfektion-nk
Civey-sb,teilnehmen-oc
Proberaum-sb,gespielt-oc
Deutsch-nk,sprechen-mo
Mal-nk,herrscht-ROOT
Krauß-sb,Augen-nk
Berlinale-sb,verlegte-mo
Tausende-sb,macht-ROOT
Paar-sb,verheiratet-pd
Mary-pnc,Gefühle-oa
Beginn-nk,fiel-ROOT
Druck-sb,lastet-sb
Situation-nk,angeschrien-oc
Betreiber-sb,Zeit-oa
Kunst-sb,Perlmann-nk
Hauptrolle-oa,übernahm-cj
Flugzeuge-sb,müssen-oc
Mike-pnc,Nachfolger-oa
Investmentbankern-nk,erfahren-oc
Sachen-an-die-Wand-Werfen-nk,kann-ROOT
Millionen-sb,kam-ROOT
Moment-nk,geht-rs
Uhr-nk,sagt-ROOT
Erkrankung-sb,kann-ROOT
Millionen-nk,starben-ROOT
München-nk,austragen-rc
Demokratie-oa,stärken-rc
Kita-sb,hustet-mo
Sauerländer-sb,auskennt-re
Loser-nk,austauschen-oc
Gehirn-nk,sagt-ROOT
Fall-oa,greift-oc
Preise-sb,vergeben-oc
Drehbuchautoren-sb,gaben-ROOT
Oliver-pnc,Garantiert-mo
Sighard-pnc,Führt-ROOT
Suchfeld-nk,eintippen-oc
Lotsen-nk,kommt-ROOT
Millionen-sb,Informationen-nk
CDU-Landesvize-sb,gewählt-oc
Ausflug-oa,besichtigt-cj
Jordan-pnc,Stadiondurchsage-oa
Frage-sb,gibt-cj
Lesart-sb,Weckruf-nk
Thuy-pnc,versichern-oc
Zugang-oa,schauen-rc
Berlin-nk,gestiegen-oc
“-sb,Passagierzahlen-nk
Fa­mi­li­en­un­ter­neh­mer-sb,Jür­gen-nk
Hannes-nk,kann-mo
Entwickler-sb,bestritten-oc
Geist-sb,wirkt-ROOT
Teams-sb,schossen-ROOT
Film-sb,Kulissen-nk
Design-oa,studierte-ROOT
Stimmen-nk,trat-ROOT
Konzepte-sb,Prozent-nk
Othello-nk,versteckte-rc
Venetien-sb,Lombardei-nk
Fahrer-sb,Lettern-nk
Formel-nk,ermittelt-oc
Privatsphäre-oa,liegt-ROOT
China-nk,liegt-ROOT
Dittrich-sb,stellte-ROOT
Raum-oa,stehen-ROOT
Werkstatt-nk,ging-mo
Sean-pnc,Dollar-nk
Kindern-nk,genutzt-oc
Titel-nk,schilderte-rc
Half-Life-nk,lässt-ROOT
Uhr-nk,gesichtet-oc
Scholz-nk,Sollte-oc
Abgeordnete-sb,LREM-nk
Geschwindigkeit-sb,wollte-ROOT
Ausbreitung-nk,ließ-ROOT
Insasse-sb,Geschichte-oa
Ultras-nk,erneuerte-ROOT
Jahre-sb,entwickeln-oc
Verzögerungen-nk,kommen-oc
Mäzen-nk,gab-ROOT
VfL-pnc,Spielunterbrechungen-oa
Phan-pnc,US-Soldaten-oa
Neutralitätsverlust-nk,gibt-ROOT
Kreisen-nk,bestimmt-oc
Merz-sb,Konzernen-nk
Karriereschritt-oa,taten-ROOT
Dienst-sb,Staat-nk
Anblick-nk,ergründet-oc
Krankheit-sb,Sars-Ausbruch-nk
Bevölkerungsgruppen-sb,Prozent-nk
Rhesusaffen-sb,beobachten-ROOT
Theater-nk,ging-ROOT
"-subtok,Festival-nk
Nachrichtenmagazin-oa,stellen-ROOT
Kameras-sb,Zeit-nk
Informationen-oa,verhindern-cj
Klaus-pnc,merkte-ROOT
Panik-sb,auszugeben-cj
Venetien-sb,infiziert-pd
Bundesligawochenende-sb,führen-oc
Künstler-sb,geblieben-oc
Ende-nk,initiiert-oc
Produktdesigner-nk,geben-oc
Nächte-sb,gelesen-oc
Liga-sb,Dietmar-oa
Angebote-sb,Zusammenarbeit-nk
Janowitz-sb,handele-oc
Instagram-nk,verquarkt-oc
Prozentpunkte-oa,hervorgeht-mo
All-pnc,Amadeus-nk
